time,MP2.5,temperature_2m,relative_humidity_2m
2016-03-19 11:00:00+00:00,21.0,18.901001,94.22117
2016-03-19 12:00:00+00:00,25.0,20.701,86.1437
2016-03-19 13:00:00+00:00,13.0,23.501,71.725494
2016-03-19 14:00:00+00:00,11.0,25.401001,59.53363
2016-03-19 15:00:00+00:00,14.0,26.601,53.8908
2016-03-19 16:00:00+00:00,23.0,27.351,51.077854
2016-03-19 17:00:00+00:00,19.0,27.751,50.696163
2016-03-19 18:00:00+00:00,25.0,27.851,50.561348
2016-03-19 19:00:00+00:00,40.0,27.451,53.763454
2016-03-19 20:00:00+00:00,26.0,25.801,65.92868
2016-03-19 21:00:00+00:00,23.0,23.751,80.531136
2016-03-19 22:00:00+00:00,18.0,22.051,92.06163
2016-03-19 23:00:00+00:00,14.0,21.051,96.37387
2016-03-20 00:00:00+00:00,21.0,20.301,97.25404
2016-03-20 01:00:00+00:00,34.0,19.701,97.24165
